castFemalePercentage,crewFemalePercentage,budget_x,revenue_x,movieDatasetRevenueRatio,budget_y,revenue_y,bechdelRevenueRatio,vote_average,vote_count,runtime,binary,nowomen,notalk,men,dubious,ok,clean_test
13.3,20.0,19000000,272742922.0,14.3548906316,20000000,406453432.0,20.3226716,8.1,4549.0,119.0,1,0,0,0,0,1,ok
35.3,16.1,25000000,377350553.0,15.09402212,20000000,670373250.0,33.5186625,7.5,3029.0,84.0,1,0,0,0,0,1,ok
38.5,20.0,14000000,463000000.0,33.0714285714,14000000,611052140.0,43.6465814286,7.0,1807.0,119.0,1,0,0,0,0,1,ok
21.4,20.0,7000000,60611975.0,8.6588535714,7000000,75772318.0,10.8246168571,7.7,2080.0,98.0,1,0,0,0,0,1,ok
17.6,23.5,80000000,457696359.0,5.7212044875,80000000,638679880.0,7.9834985,6.7,2677.0,110.0,0,0,1,0,0,0,notalk
18.2,36.4,57000000,115267375.0,2.0222346491,57000000,155729360.0,2.7320940351,6.4,553.0,103.0,0,0,0,1,0,0,men
9.1,19.4,80000000,250200000.0,3.1275,80000000,340663534.0,4.258294175,6.5,1335.0,88.0,0,0,1,0,0,0,notalk
64.3,0.0,15000000,24769466.0,1.6512977333,15000000,80438932.0,5.3625954667,6.3,388.0,101.0,1,0,0,0,0,1,ok
4.5,19.0,75000000,335062621.0,4.4675016133,75000000,470139022.0,6.2685202933,6.9,1474.0,136.0,0,0,1,0,0,0,notalk
26.7,21.6,92000000,494471524.0,5.3746904783,88000000,737788385.0,8.3839589205,6.1,966.0,113.0,1,0,0,0,0,1,ok
43.8,20.0,50000000,113309743.0,2.26619486,50000000,146419486.0,2.92838972,4.4,210.0,115.0,0,0,0,0,1,0,dubious
33.3,7.1,4000000,16491080.0,4.12277,3100000,40502570.0,13.0653451613,7.8,2737.0,93.0,0,0,0,1,0,0,men
15.4,22.2,75000000,816969268.0,10.8929235733,75000000,1123570133.0,14.9809351067,6.7,3334.0,145.0,1,0,0,0,0,1,ok
22.2,37.5,55000000,18626419.0,0.3386621636,55000000,37165930.0,0.6757441818,5.7,202.0,116.0,0,0,1,0,0,0,notalk
26.7,17.6,100000000,100138851.0,1.00138851,100000000,425638851.0,4.25638851,6.8,1182.0,91.0,0,0,1,0,0,0,notalk
28.6,0.0,47000000,102825796.0,2.1877828936,47000000,163066091.0,3.4694912979,5.7,603.0,96.0,0,0,1,0,0,0,notalk
36.0,10.5,27000000,25023434.0,0.9267938519,25000000,57246848.0,2.28987392,6.7,248.0,113.0,0,0,1,0,0,0,notalk
55.0,23.3,26000000,116400000.0,4.4769230769,30000000,286978406.0,9.5659468667,6.5,172.0,102.0,1,0,0,0,0,1,ok
19.4,0.0,50000000,60209334.0,1.20418668,55000000,81435538.0,1.4806461455,5.3,291.0,107.0,0,0,1,0,0,0,notalk
56.2,44.4,6000000,22231658.0,3.7052763333,5900000,60063316.0,10.1802230508,6.7,152.0,121.0,1,0,0,0,0,1,ok
25.0,21.1,50000000,42277365.0,0.8455473,50000000,50853722.0,1.01707444,5.6,381.0,97.0,0,0,1,0,0,0,notalk
16.7,4.2,6000000,245066411.0,40.8444018333,7000000,403466411.0,57.6380587143,8.5,6024.0,175.0,0,0,1,0,0,0,notalk
36.4,63.6,4500000,7011317.0,1.5580704444,4500000,10813577.0,2.4030171111,6.9,203.0,108.0,1,0,0,0,0,1,ok
41.7,0.0,9000000,41590886.0,4.6212095556,9000000,72098216.0,8.0109128889,6.9,66.0,118.0,1,0,0,0,0,1,ok
0.0,30.0,14000000,154864401.0,11.0617429286,14000000,223912526.0,15.9937518571,6.8,510.0,98.0,0,0,1,0,0,0,notalk
12.5,0.0,48000000,390493908.0,8.13528975,50000000,555993908.0,11.11987816,6.6,937.0,143.0,0,0,0,0,1,0,dubious
23.1,12.1,28000000,140767956.0,5.027427,28000000,220459588.0,7.8735567143,7.5,4005.0,131.0,1,0,0,0,0,1,ok
56.7,0.0,4500000,13417292.0,2.9816204444,4500000,26834584.0,5.9632408889,7.1,127.0,142.0,1,0,0,0,0,1,ok
30.8,25.0,65000000,89456761.0,1.3762578615,65000000,66895224.0,1.0291572923,6.4,323.0,120.0,0,0,1,0,0,0,notalk
28.6,41.7,14500000,147298761.0,10.1585352414,14500000,193881109.0,13.3711109655,6.7,1406.0,120.0,0,0,0,0,1,0,dubious
23.1,0.0,3000000,4000000.0,1.3333333333,3000000,8000000.0,2.6666666667,7.4,826.0,100.0,0,0,0,1,0,0,men
33.3,0.0,2000000,18344729.0,9.1723645,2000000,36689458.0,18.344729,7.0,206.0,89.0,0,0,1,0,0,0,notalk
0.0,38.1,1200000,14661007.0,12.2175058333,1200000,5664058.0,4.7200483333,8.1,3821.0,99.0,0,1,0,0,0,0,nowomen
0.0,15.0,6000000,138530565.0,23.0884275,6000000,275926656.0,45.987776,7.5,1236.0,120.0,0,1,0,0,0,0,nowomen
18.2,20.0,3705538,62548947.0,16.8798557726,4000000,125093390.0,31.2733475,6.9,180.0,112.0,0,0,0,1,0,0,men
14.3,31.2,12500000,10725228.0,0.85801824,12500000,21450456.0,1.71603648,7.5,330.0,100.0,0,1,0,0,0,0,nowomen
50.0,30.8,10500000,792965326.0,75.5205072381,10500000,1228075880.0,116.959607619,7.3,3359.0,115.0,0,0,0,0,1,0,dubious
15.4,10.5,15000000,356830601.0,23.7887067333,15000000,536601202.0,35.7734134667,6.7,1736.0,110.0,0,0,0,1,0,0,men
11.1,19.4,70000000,90000098.0,1.2857156857,70000000,108486250.0,1.5498035714,7.1,822.0,139.0,1,0,0,0,0,1,ok
