castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
61.3,62.5,10000000,23574130.0,2.357413,1,6.5,38.0,116.0,1995.0,0.7616,en,4.485958,How To Make An American Quilt,How To Make An American Quilt
15.8,20.0,33000000,327311859.0,9.9185411818,0,8.1,5915.0,127.0,1995.0,0.7233,en,18.45743,Se7en,Se7en
13.3,25.9,6000000,23341568.0,3.8902613333,0,8.1,3334.0,106.0,1995.0,0.5452,en,16.302466,The Usual Suspects,The Usual Suspects
36.4,29.6,15000000,6700000.0,0.4466666667,0,6.7,145.0,95.0,1995.0,0.6986,en,15.899134,Mighty Aphrodite,Mighty Aphrodite
35.3,0.0,3500000,28215918.0,8.0616908571,0,7.0,513.0,91.0,1995.0,0.3151,en,14.56965,Friday,Friday
26.3,18.4,19000000,25836616.0,1.3598218947,0,6.9,1644.0,108.0,1996.0,0.0492,en,15.339153,From Dusk Till Dawn,From Dusk Till Dawn
23.5,22.2,50000000,11534477.0,0.23068954,0,4.1,54.0,91.0,1995.0,0.8384,en,5.912223,Fair Game,Fair Game
28.6,0.0,15000000,2042530.0,0.1361686667,0,3.9,16.0,90.0,1996.0,0.0683,en,2.936443,Big Bully,Big Bully
28.6,25.0,20000000,5781885.0,0.28909425,0,6.1,154.0,108.0,1995.0,0.6849,en,12.758848,Screamers,Screamers
28.6,12.5,8000000,529766.0,0.06622075,0,6.7,87.0,116.0,1995.0,0.9151,en,4.486179,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead
6.7,0.0,38000000,10300000.0,0.2710526316,0,6.3,86.0,129.0,1996.0,0.0874,en,9.568604,White Squall,White Squall
33.3,11.1,8169363,8175346.0,1.0007323704,0,6.1,190.0,90.0,1995.0,0.8904,en,6.848591,Nick of Time,Nick of Time
25.0,12.5,14000000,19800000.0,1.4142857143,0,4.5,113.0,100.0,1995.0,0.8164,en,9.071127,Vampire in Brooklyn,Vampire in Brooklyn
7.1,0.0,50000000,150270147.0,3.00540294,0,5.7,459.0,108.0,1996.0,0.1066,en,14.957626,Broken Arrow,Broken Arrow
16.7,18.8,7000000,560069.0,0.0800098571,0,6.8,285.0,91.0,1996.0,0.1393,en,6.904831,Bottle Rocket,Bottle Rocket
9.1,0.0,12000000,41205099.0,3.43375825,0,6.5,767.0,92.0,1996.0,0.1257,en,9.592265,Happy Gilmore,Happy Gilmore
57.1,20.0,24000000,182016617.0,7.5840257083,0,7.3,397.0,135.0,1995.0,0.4027,en,5.951077,The Bridges of Madison County,The Bridges of Madison County
3.3,4.0,72000000,210000000.0,2.9166666667,0,7.7,3404.0,177.0,1995.0,0.3918,en,20.755149,Braveheart,Braveheart
27.3,27.3,1300000,28262574.0,21.7404415385,0,8.1,2632.0,114.0,1976.0,0.1011,en,14.092713,Taxi Driver,Taxi Driver
25.0,0.0,7500000,32392047.0,4.3189396,0,6.5,245.0,91.0,1995.0,0.0795,cn,12.314278,紅番區,Rumble in the Bronx
33.3,0.0,25000000,6278139.0,0.25112556,0,5.1,7.0,113.0,1995.0,0.7425,en,1.522412,Steal Big Steal Little,Steal Big Steal Little
50.0,0.0,40000000,70100000.0,1.7525,0,5.4,139.0,117.0,1992.0,0.4945,en,6.506983,Boomerang,Boomerang
50.0,45.5,7000000,14702438.0,2.1003482857,0,6.3,66.0,92.0,1996.0,0.2213,en,5.579088,Flirting with Disaster,Flirting with Disaster
30.0,20.0,31000000,185260553.0,5.976146871,0,6.7,303.0,117.0,1996.0,0.1831,en,6.49968,The Birdcage,The Birdcage
33.3,17.6,19000000,141407024.0,7.4424749474,0,6.5,1729.0,118.0,1995.0,0.263,en,9.262184,Bad Boys,Bad Boys
37.5,38.5,4000000,851545.0,0.21288625,0,6.0,11.0,113.0,1995.0,0.5507,en,0.922958,An Awfully Big Adventure,An Awfully Big Adventure
24.0,25.8,52000000,355237933.0,6.8314987115,0,7.3,1637.0,140.0,1995.0,0.4932,en,18.761467,Apollo 13,Apollo 13
33.3,0.0,28000000,31596911.0,1.1284611071,0,6.5,151.0,139.0,1995.0,0.2795,en,10.193549,Rob Roy,Rob Roy
26.7,27.6,100000000,336529144.0,3.36529144,0,5.2,1529.0,121.0,1995.0,0.4548,en,13.321354,Batman Forever,Batman Forever
6.7,33.3,11000000,178104.0,0.0161912727,0,5.9,57.0,91.0,1995.0,0.4329,en,5.391556,Canadian Bacon,Canadian Bacon
6.9,0.0,25000000,13071518.0,0.52286072,0,6.8,69.0,128.0,1995.0,0.7041,en,4.558992,Clockers,Clockers
22.2,22.2,50000000,152022101.0,3.04044202,0,5.0,214.0,109.0,1995.0,0.4356,en,7.260574,Congo,Congo
0.0,4.5,53000000,157387195.0,2.969569717,0,7.0,508.0,116.0,1995.0,0.3589,en,8.657365,Crimson Tide,Crimson Tide
16.7,16.7,7000000,25405445.0,3.6293492857,0,6.8,898.0,104.0,1995.0,0.6466,en,6.950458,Desperado,Desperado
25.0,4.8,90000000,366101666.0,4.0677962889,0,6.9,2094.0,128.0,1995.0,0.3781,en,15.138855,Die Hard: With a Vengeance,Die Hard: With a Vengeance
18.2,16.7,55000000,127600435.0,2.3200079091,0,5.9,319.0,134.0,1995.0,0.5123,en,15.178338,First Knight,First Knight
15.8,25.0,20000000,7563728.0,0.3781864,0,6.2,406.0,107.0,1995.0,0.7014,en,14.810519,Hackers,Hackers
20.0,0.0,25000000,19075720.0,0.7630288,0,5.5,380.0,97.0,1995.0,0.3973,en,11.715868,Johnny Mnemonic,Johnny Mnemonic
17.6,7.1,90000000,113493481.0,1.2610386778,0,5.4,643.0,96.0,1995.0,0.4932,en,8.184815,Judge Dredd,Judge Dredd
33.3,0.0,1500000,7412216.0,4.9414773333,0,6.8,280.0,91.0,1995.0,0.5699,en,4.877872,Kids,Kids
33.3,0.0,500000,1148752.0,2.297504,0,7.2,64.0,89.0,1995.0,0.0521,en,10.058329,Living in Oblivion,Living in Oblivion
27.8,0.0,6000000,2122561.0,0.3537601667,0,6.8,400.0,94.0,1995.0,0.8,en,8.25547,Mallrats,Mallrats
30.0,9.1,15000000,66000000.0,4.4,0,5.2,153.0,92.0,1995.0,0.4932,en,7.024227,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie
0.0,0.0,2,1.0,0.5,0,6.4,36.0,95.0,1995.0,0.7397,en,2.466066,Mute Witness,Mute Witness
25.0,0.0,22000000,110627965.0,5.0285438636,0,5.6,359.0,114.0,1995.0,0.5699,en,13.304342,The Net,The Net
28.6,66.7,150000,472370.0,3.1491333333,1,5.8,14.0,94.0,1995.0,0.4356,en,1.165039,Party Girl,Party Girl
