castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
50.0,0.0,15000000,0.0,-1.0,0,4.4,110.0,88.0,1996.0,0.0301,en,6.387469,Bio-Dome,Bio-Dome
33.3,0.0,0,2409225.0,-1.0,0,2.8,32.0,92.0,1996.0,0.0301,en,2.49535,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace
25.0,0.0,0,0.0,-1.0,0,5.4,11.0,85.0,1995.0,0.8055,en,4.046208,Two Bits,Two Bits
35.3,0.0,3500000,28215918.0,8.0616908571,0,7.0,513.0,91.0,1995.0,0.3151,en,14.56965,Friday,Friday
26.3,18.4,19000000,25836616.0,1.3598218947,0,6.9,1644.0,108.0,1996.0,0.0492,en,15.339153,From Dusk Till Dawn,From Dusk Till Dawn
23.5,22.2,50000000,11534477.0,0.23068954,0,4.1,54.0,91.0,1995.0,0.8384,en,5.912223,Fair Game,Fair Game
35.3,0.0,0,718490.0,-1.0,0,7.0,36.0,96.0,1995.0,0.7616,en,3.367276,Kicking and Screaming,Kicking and Screaming
47.4,27.8,0,19030691.0,-1.0,0,5.1,27.0,87.0,1996.0,0.0683,en,10.412194,Bed of Roses,Bed of Roses
28.6,0.0,15000000,2042530.0,0.1361686667,0,3.9,16.0,90.0,1996.0,0.0683,en,2.936443,Big Bully,Big Bully
28.6,25.0,20000000,5781885.0,0.28909425,0,6.1,154.0,108.0,1995.0,0.6849,en,12.758848,Screamers,Screamers
50.0,100.0,0,0.0,-1.0,2,7.3,3.0,70.0,1995.0,0.1315,en,0.133893,Nico Icon,Nico Icon
42.9,0.0,0,0.0,-1.0,0,6.1,74.0,111.0,1995.0,0.8712,en,5.756462,The Crossing Guard,The Crossing Guard
23.1,0.0,44000000,0.0,-1.0,0,5.5,91.0,118.0,1996.0,0.0874,en,6.010579,The Juror,The Juror
