directorGender,tmdbId
0,40490
2,24070
0,8986
2,10510
0,17402
0,38722
0,8438
0,11593
0,1945
0,39310
0,109560
0,56428
0,63105
0,131957
0,241
0,9058
0,527
1,18220
0,6950
0,101
1,63020
0,2307
0,680
0,41478
0,25296
1,40156
0,11450
2,30304
0,10452
0,12106
0,161495
0,3586
0,110
0,108
0,109
0,159185
0,36357
0,92769
0,28033
0,22586
0,14334
0,2636
0,2164
0,11395
0,278
0,9905
4,87078
4,12527
0,20306
4,36614
0,27993
0,31439
1,9067
0,9059
0,193
0,25066
0,46797
0,12122
0,11381
0,32636
0,36141
0,95963
0,1587
2,9271
0,2064
0,19855
2,60855
0,236
1,48287
0,3049
0,2759
0,12635
0,10497
0,11382
0,9331
0,10731
1,10464
0,34152
0,9495
0,29973
0,888
0,13
0,712
0,16295
1,48992
0,10879
2,10660
0,10714
2,41647
4,8587
0,1689
0,11596
0,854
0,9359
0,23333
0,36593
0,12280
0,2788
0,10427
0,11011
0,49803
0,8987
0,1637
0,15128
0,8831
0,36955
2,10449
0,10395
0,12160
0,40480
0,52038
0,29444
0,26352
4,39953
2,41580
2,315
0,22067
0,18242
0,11667
0,32502
0,267188
0,28732
2,75555
0,42981
2,278939
2,291731
2,226229
0,203119
0,172923
4,316098
0,8011
0,171857
0,2654
0,18069
0,19092
0,2758
0,38129
0,10436
0,13595
0,46094
0,9409
0,11853
0,16771
0,46924
2,11041
0,306
1,14522
0,26203
0,178
2,19819
0,57834
0,4722
1,18215
0,1607
0,26391
0,117553
0,6075
0,11310
0,18658
0,9350
0,9612
0,2124
0,26261
0,19176
0,49299
0,11566
0,9571
0,9739
0,24257
0,34444
0,26141
0,10997
0,50463
0,10443
0,20239
0,16297
0,18551
0,25440
0,9024
0,37233
2,1634
0,13815
0,5503
0,35588
0,2087
0,41579
1,18620
0,41006
0,4916
0,2019
0,31642
0,9255
2,26271
0,10612
0,2259
0,16097
2,11934
0,106143
0,12475
0,9386
0,7984
0,59930
0,15765
0,31643
0,6
0,329
0,10909
0,507
0,34024
0,29918
0,9593
0,42580
4,22317
0,1413
0,12121
0,2246
0,10502
0,10440
4,9516
0,2320
0,5879
0,83718
0,11971
0,2625
0,31911
0,788
0,21450
0,11231
0,41588
0,10447
0,31586
1,9300
0,9559
0,9800
1,713
0,8291
0,18133
0,25557
0,22588
0,10872
0,1245
1,11858
0,7007
0,10467
0,5550
0,8005
0,2088
0,10412
0,47889
0,14534
0,56583
0,41878
0,424
0,35233
0,14291
0,103413
1,11236
0,11592
0,8850
0,10445
0,695
0,43535
0,12519
0,23210
2,858
0,867
0,78
0,13203
0,10442
0,11074
2,33367
4,9607
0,17585
0,9057
0,20967
0,10635
0,9479
0,10057
0,11969
0,41590
0,319
4,26408
4,15139
2,161158
1,218473
0,85247
0,11446
0,51980
0,24405
0,11655
0,11800
0,8223
1,14587
0,31504
2,41653
0,53185
2,95743
2,23637
0,17600
2,10897
2,349394
2,21352
0,68806
2,37345
4,32562
0,47507
0,25403
1,124304
1,9066
0,771
0,251
4,812
0,280
0,581
2,80350
0,268
0,274
0,408
4,10020
4,10895
0,114
2,41043
2,576
2,15477
2,59146
2,124472
0,30528
0,7300
0,10824
0,261246
2,275
0,25059
0,11827
4,8766
0,23570
0,47333
1,54850
0,51242
0,10112
0,4307
2,46029
0,32308
0,88893
0,52873
3,123505
0,340210
2,44281
0,28121
2,12520
0,1592
2,166901
0,36447
4,19042
0,38884
2,47449
2,36259
0,41852
2,40926
0,9099
0,2021
0,61752
0,10988
0,11479
0,398959
0,287305
3,339428
0,12652
0,10684
0,954
2,68445
0,18989
2,10801
0,54285
0,8840
0,278978
0,124625
0,11107
2,16417
2,70934
0,10363
0,161070
0,10539
0,10543
0,18414
0,47502
2,11902
0,27098
0,25087
0,5801
0,896
0,3065
3,318177
0,2300
0,8069
1,288173
0,187851
0,27768
0,221917
0,8072
0,35797
0,88030
2,185191
0,83857
0,33245
2,124460
2,27281
1,105045
0,40001
0,29621
2,117730
0,20762
1,37144
0,48260
0,12656
2,38867
2,277270
0,25969
2,44103
0,753
1,43634
0,9103
0,90214
0,29649
0,10990
0,8866
0,12233
2,23449
0,36355
1,37667
1,90148
2,922
0,11876
0,52633
2,62364
0,11687
0,9304
2,73183
4,131232
0,9100
0,20759
0,46063
3,365371
0,32513
4,40651
0,36915
0,40507
0,9802
0,25697
0,21588
0,664
0,11867
0,47119
2,314352
0,9323
0,10280
0,10535
0,124613
0,532
2,26744
0,16299
2,10547
2,245268
0,935
0,55613
0,215107
0,41007
0,35645
2,110465
2,255546
0,40751
2,275096
2,85778
0,11101
2,9826
2,9879
0,63564
0,22621
0,7095
1,26890
2,46732
2,124633
4,202425
2,196940
2,77771
2,181083
4,41225
4,188589
0,87190
0,627
