noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,tmdbId
1,2,4,1,0,2,29918
1,5,16,64,5,28,9593
0,2,5,1,0,2,42580
0,2,8,2,0,5,22317
0,3,4,1,4,4,1413
0,3,2,4,2,6,12121
0,5,7,1,2,10,2246
10,6,12,6,3,8,10502
8,7,9,10,6,19,10440
3,2,7,1,1,6,9516
1,2,15,3,3,16,2320
6,0,2,3,0,4,5879
0,1,1,2,1,7,83718
0,4,8,0,0,10,11971
1,10,9,2,0,8,2625
0,2,2,21,4,11,31911
9,5,11,3,8,10,788
0,5,5,0,0,6,21450
5,2,8,2,0,6,11231
2,4,4,0,0,2,41588
18,0,16,51,2,9,10447
17,13,26,0,3,15,31586
17,5,16,4,3,3,9300
9,5,15,1,2,11,9559
25,9,27,16,4,16,9800
3,4,8,3,2,2,713
10,9,9,0,1,11,8291
2,2,7,5,1,9,18133
1,1,13,8,0,8,25557
1,3,16,0,1,5,22588
1,3,8,3,0,12,10872
13,3,17,23,5,13,1245
1,1,10,0,1,5,11858
4,5,16,1,1,13,7007
0,3,6,1,1,9,10467
2,6,14,3,2,10,5550
1,2,14,57,1,17,8005
2,3,12,8,4,6,2088
2,1,3,2,0,5,10412
6,1,2,9,0,4,47889
10,1,13,6,2,9,14534
0,1,5,1,0,1,56583
4,2,1,1,0,2,41878
15,4,11,20,3,13,424
0,2,7,2,0,3,35233
1,2,10,3,1,5,14291
1,1,4,2,1,2,103413
9,4,5,26,5,11,11236
46,13,8,1,1,4,11592
3,1,20,1,0,6,8850
1,2,11,3,5,18,10445
8,9,14,6,2,10,695
1,2,3,0,0,1,43535
3,3,4,2,2,5,12519
1,5,11,0,0,2,23210
5,9,9,5,7,15,858
3,8,7,28,5,18,867
13,6,12,17,4,16,78
1,2,6,0,1,2,13203
4,5,9,1,1,7,10442
1,1,9,2,0,6,11074
3,3,1,4,0,3,33367
1,2,7,5,0,6,9607
0,0,7,0,0,2,17585
1,2,4,3,0,7,9057
5,0,1,0,0,3,20967
0,3,3,1,0,5,10635
8,1,7,24,2,9,9479
0,3,8,30,1,23,10057
9,4,29,33,4,20,11969
1,3,9,2,3,12,41590
7,6,27,12,8,19,319
3,0,2,0,3,4,26408
2,5,15,14,0,8,15139
2,1,3,6,0,2,161158
0,2,1,1,1,0,218473
0,2,4,1,0,2,85247
4,4,6,0,2,5,11446
6,3,7,0,1,3,51980
1,3,11,2,1,14,24405
2,1,3,3,1,3,11655
2,6,6,1,4,7,11800
6,4,5,1,0,4,8223
19,4,4,0,3,0,14587
1,0,6,1,0,3,31504
11,1,4,3,0,1,41653
24,4,4,4,1,3,53185
1,3,6,3,2,5,95743
2,0,1,3,0,2,23637
4,3,4,3,1,4,17600
3,10,14,4,0,9,10897
1,1,1,1,0,0,349394
1,3,3,3,0,1,21352
3,1,6,7,1,2,68806
0,3,4,1,0,0,37345
6,5,15,7,1,11,32562
0,1,3,0,0,1,47507
18,2,4,0,0,2,25403
2,1,2,0,2,0,124304
6,8,8,1,1,7,9066
11,6,14,25,3,16,771
1,7,6,35,6,20,251
4,4,16,69,4,27,812
11,5,26,25,7,22,280
38,2,17,47,2,18,581
2,2,9,2,0,0,80350
3,2,14,1,1,10,268
30,4,26,53,6,24,274
3,3,7,62,0,43,408
4,6,11,51,5,26,10020
2,2,8,36,0,39,10895
4,5,8,0,2,8,114
14,1,1,7,0,0,41043
17,4,23,17,0,17,576
1,4,6,4,1,3,15477
5,0,0,4,0,1,59146
0,0,0,1,0,0,124472
